Date,mun_geocod,mun_nome,mun_lat,mun_lon,mun_uf_nome,co_ppb,no2_ppb,o3_ppb,pm25_ugm3,so2_ugm3,precipitacao_mmdia,temperatura_c,umidade_relativa_percentual,vento_direcao_grau,vento_velocidade_ms
1/14/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,105.225,NA,8.725,5.4,0.425,0,27,78,115.5,3.475
1/15/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,91.325,NA,8.625,9.025,0.375,4,26.275,85,117.25,3
1/16/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,90.525,NA,8.425,10.775,0.425,5,25.4,91.5,115.5,2.975
1/17/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,96.475,NA,8.8,7.2,0.45,9,26.625,81.5,102.75,3.8
1/18/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,95.1,NA,8.975,6.7,0.4,5,27.025,80,102.75,4.125
1/19/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,93.15,NA,8.95,17.675,0.425,0,27.125,76.75,104.25,3.8
1/20/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,115.05,NA,8.95,15.45,0.45,0,26.575,80.25,65,2.925
1/21/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,138.35,NA,9.55,27.775,0.45,0,27.075,79.75,31.25,2.75
1/22/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,151.45,NA,9.6,25.05,0.45,1,27,84.75,60.5,3.075
1/23/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,123.5,NA,9.35,3.675,0.4,0,27,79.5,89,3.15
1/24/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,107.175,NA,9.25,9.025,0.425,0,27.425,72,86,3.325
1/25/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,103.15,NA,9.475,11.1,0.4,0,26.6,77.5,80.75,3.325
1/26/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,101.45,NA,9.55,12.95,0.35,0,27.35,76.25,102,4.1
1/27/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,92.55,NA,9.375,8.025,0.45,1,26.775,83.25,115.5,4.05
1/28/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,92.25,NA,9.375,9.3,0.45,0,27.075,79,110.25,4.15
1/29/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,107.45,NA,9.775,14.4,0.375,0,27.3,77.75,105,4.325
1/30/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,100.2,NA,9.925,15.025,0.425,0,27.325,77.75,106.5,5
1/31/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,91.225,NA,9.925,16.725,0.425,1,27.4,76.75,128,4.775
2/1/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,96.5,NA,9.775,13.6,0.45,0,27.725,75.5,130.75,5.15
2/2/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,88.3,NA,9.6,35.625,0.4,0,27.75,75,103.75,4.65
2/3/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,96.25,NA,9.825,61.3,0.4,0,27.7,77.25,68.25,3.9
2/4/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,108.475,NA,10.425,194.875,0.375,0,27.375,78.25,46.25,3.6
2/5/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,109.475,NA,10.475,172.75,0.375,0,27.525,79,77.25,3.525
2/6/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,106.475,NA,9.95,84.875,0.4,0,26.925,80,100.25,3.725
2/7/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,80.125,NA,10.175,25.8,0.425,0,27.425,78.25,99.5,3.95
2/8/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,70.375,NA,10.2,24.85,0.35,1,26.875,77,85,3.55
2/9/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,69.875,NA,10.4,10.825,0.35,2,27.2,76,98.75,3
2/10/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,86.925,NA,10.35,21.7,0.4,4,27,81,102.75,3.875
2/11/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,69.15,NA,10.225,25.1,0.4,0,26.9,79.75,128.25,4.1
2/12/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,63.075,NA,10.25,41.175,0.4,0,27.325,73.75,123,4.825
2/13/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,64.275,NA,10.45,40.675,0.375,0,27.5,71.25,110.25,3.675
2/14/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,66.575,NA,10.6,22.5,0.525,16,26.4,83.5,120.5,1.9
2/15/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,70.9,NA,11.175,56.75,0.625,9,26.025,83.75,124.5,1.325
2/16/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,79.9,NA,11.475,42.65,0.525,2,26.775,80,167.75,2.1
2/17/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,82.425,NA,11.2,16.6,0.525,5,26.55,80.75,97.25,2.1
2/18/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,69.1,NA,10.55,7.275,0.5,13,26.275,85.25,124.75,4.275
2/19/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,84.9,NA,11.075,8.1,0.625,2,25.7,88.25,136.5,3
2/20/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,79.8,NA,11.425,4.775,0.55,2,25.775,86.5,135.5,2.55
2/21/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,89.025,NA,10.75,14.275,0.625,0,26.175,86.5,135.75,1.65
2/22/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,94.1,NA,10.925,83.525,0.425,3,26.475,85.25,46.5,2.15
2/23/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,103.4,NA,11.275,60.825,0.4,12,25.9,85.25,83.25,2.35
2/24/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,79.125,NA,10.975,15.875,0.425,8,26.85,83,122.25,3.75
2/25/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,79.9,NA,10.675,17,0.4,4,26.3,86,106.5,3.8
2/26/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,89.975,NA,10.7,38.875,0.45,15,25.4,92.75,112.5,4.075
2/27/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,81.175,NA,10.575,23.025,0.4,5,26.1,86.25,123.5,4.525
2/28/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,74.275,NA,10.675,16.75,0.425,1,26.975,80,129.25,4.45
2/29/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,69.375,NA,10.625,7.65,0.5,0,26.625,85.25,131.75,4.375
2/1/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,96.075,NA,9.725,12.575,0.425,0,27.75,74.75,130.75,4.725
2/2/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,88.15,NA,9.65,36.125,0.375,0,27.825,74,103.5,4.225
2/3/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,97.125,NA,9.825,55.05,0.425,0,27.625,77.5,66.75,3.575
2/4/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,110.2,NA,10.375,182.825,0.4,0,27.375,77.75,45,3.325
2/5/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,110.95,NA,10.4,160.925,0.425,0,27.35,79.25,76.5,3.275
2/6/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,106.475,NA,9.95,79.45,0.4,0,26.8,81,100.5,3.425
2/7/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,80.475,NA,10.175,24,0.425,0,27.45,77.75,100.75,3.65
2/8/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,70.275,NA,10.175,22.325,0.35,1,26.825,77.5,87.25,3.2
2/9/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,70.225,NA,10.375,11.4,0.4,2,27.225,76,102.25,2.775
2/10/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,87.65,NA,10.35,21.625,0.425,4,27,81.75,104.5,3.625
2/11/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,69.175,NA,10.2,20.5,0.425,0,26.9,79,130,3.8
2/12/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,64.2,NA,10.225,38.45,0.425,0,27.3,72.75,123.75,4.45
2/13/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,65.175,NA,10.425,33.975,0.375,0,27.575,70.75,111.5,3.425
2/14/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,67.7,NA,10.575,17.5,0.55,16,26.45,84,122.5,1.9
2/15/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,72.425,NA,11.1,44.725,0.65,9,26,84.5,131.25,1.375
2/16/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,80.3,NA,11.3,42.2,0.6,2,26.775,80.5,167.75,2
2/17/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,83.95,NA,11.075,17.775,0.625,5,26.625,80.75,100.5,2.05
2/18/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,67.2,NA,10.425,6.275,0.45,13,26.375,84.75,125.25,3.975
2/19/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,84.975,NA,11.025,7.875,0.65,2,25.725,88.5,137.75,2.825
2/20/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,80.475,NA,11.325,4.4,0.6,2,25.75,86.75,137.25,2.375
2/21/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,92.65,NA,10.7,12.25,0.625,0,26.25,86.75,136.25,1.6
2/22/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,98.2,NA,10.9,76.925,0.475,3,26.475,85.75,49.25,2.05
2/23/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,104,NA,11.25,56.05,0.425,12,25.775,86.5,87.25,2.275
2/24/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,78.125,NA,10.9,13.425,0.4,8,26.85,83.5,122.75,3.45
2/25/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,79.65,NA,10.65,16.225,0.425,4,26.225,86.25,109.75,3.5
2/26/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,90.65,NA,10.6,37.325,0.45,15,25.375,93.5,113.5,3.75
2/27/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,82.325,NA,10.55,24.35,0.4,5,26.1,86.25,125.25,4.125
2/28/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,74.925,NA,10.65,17.3,0.425,1,26.875,80.5,130.25,4.1
2/29/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,70.425,NA,10.65,7.55,0.525,0,26.55,85.5,132.5,3.95
3/1/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,68.6,NA,10.575,9.25,0.475,7,26.475,87.75,116.5,4.075
3/2/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,70.9,NA,10.65,20.03333333,0.425,2,26.95,84.25,123,4.675
3/3/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,72.675,NA,11.075,47.9,0.35,0,27.225,81.5,122,4.425
3/4/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,72.55,NA,11.225,19.56666667,0.375,0,27.7,77.25,114.75,4.675
3/5/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,73.425,NA,11,28.775,0.35,0,27.8,74.75,123.5,5.425
3/6/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,71.65,NA,10.825,57.325,0.375,0,28.225,74,127,5.5
3/7/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,69.375,NA,10.4,31.73333333,0.4,0,27.975,74,116,3.925
3/8/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,75.375,NA,10.525,365.95,0.45,0,27.65,79.25,106,3.675
